time,completions,q_len,lat_p50,lat_p95,lat_p99,rho_tau_est,idle_budget,dream_cpu_secs,dream_events,action,reward
32.0,16,3,0.3986552176379746,0.7755090301808133,0.8774286284074618,0.4612159416324937,0.1081135551892528,1.9977879446132276,19,0,-0.01081135551892528
33.0,16,5,0.3986552176379746,0.7755090301808133,0.8774286284074618,0.444651959727936,0.10719957321524512,1.9977879446132276,19,0,-0.010719957321524512
34.0,18,3,0.3986552176379746,0.8368462985632281,0.8896960820839447,0.45371287337360733,0.1061794962787608,1.9977879446132276,19,0,-0.01061794962787608
35.0,20,3,0.3986552176379746,0.8496763620795137,0.8922620947872019,0.47270929560381736,0.10734476170648165,1.9977879446132276,19,0,-0.010734476170648165
36.0,21,2,0.3936584170305346,0.8468746691382184,0.891701756198943,0.4549092208260893,0.10661004492093001,1.9977879446132276,19,0,-0.010661004492093002
37.0,22,1,0.3657551497088548,0.8457903485853433,0.8911414176106838,0.4658523517906257,0.10404853174851113,1.9977879446132276,19,0,-0.010404853174851113
38.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.46959178293243736,0.10932911392742786,2.1052104771902345,20,0,-0.010932911392742786
39.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.46861849669341377,0.10936669463708584,2.2104495079080917,21,0,-0.010936669463708585
40.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.46106908716489886,0.10459235970017036,2.318900392383099,22,0,-0.010459235970017036
41.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.4570785500342913,0.10564572250589098,2.4265510547679354,23,0,-0.0105645722505891
42.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.4535872699800797,0.10556539509442107,2.534515910224229,24,0,-0.010556539509442108
43.0,23,0,0.337851882387175,0.8447060280324683,0.8905810790224249,0.4667084622984226,0.10557920265552577,2.6420462584203976,25,0,-0.010557920265552578
44.0,24,0,0.3657551497088548,0.8436217074795932,0.8900207404341657,0.46412895749156335,0.10498758313174164,2.747334858649021,26,0,-0.010498758313174164
45.0,24,0,0.3657551497088548,0.8436217074795932,0.8900207404341657,0.4452610302336079,0.10328900520118148,2.851300313444534,27,0,-0.010328900520118148
46.0,24,1,0.3657551497088548,0.8436217074795932,0.8900207404341657,0.466582247180067,0.10540025009612851,2.851300313444534,27,0,-0.010540025009612852
